,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful Raid Percentage,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super Raids,Super 10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super Tackles,High 5s
132,Emad Sedaghatnia,Raider,"Jan 1, 1970",Puneri Paltan,-,Iran,-,1.0,1.0,1.0,50.0,4.0,1.0,2.0,1.0,25.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
133,Manjeet,Raider,"Oct 30, 1996",Puneri Paltan,-,India,-,17.0,118.0,16.0,77.41,217.0,77.0,49.0,91.0,42.39,71.0,21.0,92.0,2.0,2.0,50.0,25.0,25.0,1.47,0.0,52.0,1.0,0.0
134,Nitin Tomar,Raider,"Apr 30, 1995",Puneri Paltan,5 ft 9 in,India,-,10.0,52.0,11.0,74.13,116.0,44.0,30.0,42.0,42.24,35.0,14.0,49.0,0.0,1.0,14.0,3.0,11.0,0.3,0.0,21.42,0.0,0.0
135,Pankaj Mohite,Raider,"Jan 1, 1970",Puneri Paltan,-,India,-,14.0,82.0,11.0,73.41,158.0,60.0,42.0,56.0,51.26,66.0,15.0,81.0,3.0,1.0,12.0,1.0,11.0,0.07,0.0,8.33,0.0,0.0
136,Pawan Kumar,Raider,"Oct 11, 1994",Puneri Paltan,6 ft 1 in,India,82 kg,6.0,25.0,10.0,79.66,59.0,19.0,12.0,28.0,42.37,17.0,8.0,25.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
137,R. Sriram,Raider,"Sep 17, 1998",Puneri Paltan,5 ft 11 in,India,-,1.0,0.0,0.0,66.66,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
138,Sushant Sail,Raider,"Jan 1, 1970",Puneri Paltan,-,India,-,7.0,8.0,3.0,52.38,21.0,5.0,10.0,6.0,38.09,6.0,2.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,Deepak Yadav,"Defender, right cover","Jun 14, 1997",Puneri Paltan,5 ft 9 in,India,78 kg,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
140,Jadhav Balasaheb,"Defender, right cover","Jun 3, 1999",Puneri Paltan,5 ft 6 in,India,8238 kg,15.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,21.0,25.0,1.4,0.0,56.52,5.0,2.0
141,Hadi Tajik,"Defender, right corner","Aug 7, 1992",Puneri Paltan,5 ft 10 in,Iran,81 kg,10.0,15.0,4.0,66.66,6.0,1.0,2.0,3.0,16.66,1.0,0.0,1.0,0.0,0.0,31.0,13.0,18.0,1.3,0.0,45.16,1.0,0.0
142,Shubham Shinde,"Defender, right corner","Jan 1, 1970",Puneri Paltan,-,India,-,13.0,18.0,3.0,100.0,8.0,1.0,0.0,7.0,12.5,1.0,0.0,1.0,0.0,0.0,44.0,15.0,29.0,1.15,0.0,38.63,2.0,0.0
143,Sanket Sawant,"Defender, left cover","Jan 1, 1970",Puneri Paltan,-,India,-,5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,14.0,1.4,0.0,33.33,0.0,0.0
144,Girish Maruti,"Defender, left corner","Dec 22, 1990",Puneri Paltan,5 ft 8 in,India,83.6 kg,13.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,26.0,46.0,2.0,0.0,40.27,3.0,1.0
145,Amit Kumar,All Rounder,"Jan 1, 1970",Puneri Paltan,-,India,-,5.0,13.0,5.0,56.0,25.0,7.0,11.0,7.0,44.0,7.0,4.0,11.0,0.0,0.0,2.0,1.0,1.0,0.2,0.0,100.0,1.0,0.0
146,Sagar B,All Rounder,"Sep 28, 1991",Puneri Paltan,5 ft 11 in,India,75 kg,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,10.0,0.66,0.0,37.5,0.0,0.0
147,Sandeep,All Rounder,"Jan 1, 1970",Puneri Paltan,6 ft,India,86 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Ajay Thakur,Raider,"May 1, 1986",Tamil Thalaivas,6 ft 1 in,India,84.3 kg,13.0,58.0,11.0,74.85,171.0,47.0,43.0,81.0,33.91,52.0,6.0,58.0,2.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
149,Anand,Raider,"Apr 23, 1998",Tamil Thalaivas,5 ft 10 in,India,70 kg,4.0,6.0,4.0,63.63,11.0,3.0,4.0,4.0,54.54,5.0,1.0,6.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
150,Rahul Chaudhari,Raider,"Jun 16, 1993",Tamil Thalaivas,6 ft,India,81.3 kg,17.0,115.0,14.0,72.95,244.0,87.0,66.0,91.0,44.26,81.0,27.0,108.0,0.0,4.0,25.0,7.0,18.0,0.41,0.0,28.0,0.0,0.0
151,Shabeer Bappu,Raider,"Aug 3, 1986",Tamil Thalaivas,5 ft 11 in,India,84.4 kg,13.0,29.0,5.0,86.36,88.0,17.0,12.0,59.0,25.0,13.0,9.0,22.0,0.0,0.0,20.0,6.0,14.0,0.46,0.0,35.0,1.0,0.0
152,V. Ajith,Raider,"Jul 15, 1998",Tamil Thalaivas,5 ft 9 in,India,70.6 kg,14.0,85.0,18.0,71.53,137.0,70.0,39.0,28.0,62.04,72.0,13.0,85.0,1.0,3.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
153,Vineet Sharma,Raider,"Jan 10, 1990",Tamil Thalaivas,6 ft,India,84.4 kg,9.0,13.0,5.0,71.42,14.0,2.0,4.0,8.0,42.85,1.0,5.0,6.0,0.0,0.0,13.0,6.0,7.0,0.66,0.0,53.84,1.0,0.0
154,Yashwant Bishnoi,Raider,"Feb 10, 2000",Tamil Thalaivas,6 ft 3 in,India,76 kg,1.0,0.0,0.0,50.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
155,Ajeet,"Defender, right cover","Sep 4, 1994",Tamil Thalaivas,6 ft,India,85 kg,14.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,13.0,38.0,0.92,0.0,27.45,1.0,0.0
156,M. Abishek,"Defender, right cover","Jan 8, 2001",Tamil Thalaivas,5 ft 6 in,India,76.8 kg,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,0.75,0.0,30.0,0.0,0.0
157,Ponparthiban Subramanian,"Defender, right cover","Jan 1, 1970",Tamil Thalaivas,-,India,-,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,0.4,0.0,28.57,0.0,0.0
158,Himanshu,"Defender, right corner","Dec 18, 2000",Tamil Thalaivas,6 ft,India,74.9 kg,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
159,Mohit Chhillar,"Defender, right corner","Jul 13, 1993",Tamil Thalaivas,5 ft 11 in,India,77 kg,16.0,36.0,5.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,33.0,40.0,2.06,0.0,49.31,3.0,1.0
160,Sagar,"Defender, right corner","Jan 1, 1970",Tamil Thalaivas,-,India,-,9.0,9.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,10.0,0.88,0.0,50.0,1.0,0.0
161,Mohammad Arif,"Defender, left corner","May 3, 1992",Tamil Thalaivas,5 ft 10 in,Bangladesh,72 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Hemant Chauhan,All Rounder,"Jan 1, 1970",Tamil Thalaivas,-,India,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
163,Manjeet Chhillar,All Rounder,"Aug 18, 1986",Tamil Thalaivas,5 ft 9 in,India,80 kg,14.0,40.0,6.0,72.22,18.0,0.0,5.0,13.0,16.66,0.0,3.0,3.0,0.0,0.0,80.0,35.0,45.0,2.5,0.0,46.25,2.0,2.0
164,Ran Singh,All Rounder,"Apr 2, 1987",Tamil Thalaivas,5 ft 11 in,India,82.7 kg,16.0,31.0,4.0,75.0,12.0,4.0,3.0,5.0,58.33,4.0,3.0,7.0,0.0,0.0,57.0,23.0,34.0,1.43,0.0,42.1,1.0,0.0
165,Victor Onyango,All Rounder,"Jan 29, 2000",Tamil Thalaivas,6 ft,Kenya,-,3.0,8.0,5.0,75.0,8.0,4.0,2.0,2.0,75.0,3.0,3.0,6.0,0.0,0.0,5.0,1.0,4.0,0.33,0.0,40.0,1.0,0.0
166,Abozar Mohajermighani,Defender,"May 19, 1989",Telugu Titans,5 ft 9 in,Iran,83 kg,15.0,31.0,4.0,66.66,6.0,0.0,2.0,4.0,16.66,0.0,1.0,1.0,0.0,0.0,69.0,27.0,42.0,1.8,0.0,43.47,3.0,0.0
167,Amit Kumar,Raider,"Mar 7, 1990",Telugu Titans,5 ft 11 in,India,80 kg,9.0,13.0,3.0,93.61,47.0,2.0,3.0,42.0,6.38,2.0,1.0,3.0,0.0,0.0,21.0,8.0,13.0,0.88,0.0,47.61,2.0,0.0
168,Ankit Beniwal,Raider,"Feb 14, 1999",Telugu Titans,5 ft 11 in,India,72 kg,5.0,8.0,2.0,56.25,16.0,5.0,7.0,4.0,43.75,5.0,2.0,7.0,0.0,0.0,2.0,1.0,1.0,0.2,0.0,50.0,0.0,0.0
169,Kamal Singh,Raider,"Aug 2, 1998",Telugu Titans,5 ft 9 in,India,73 kg,2.0,2.0,2.0,71.42,7.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,0.0,40.0,0.0,0.0
170,Mula Siva,Raider,"Mar 5, 1999",Telugu Titans,5 ft 11 in,India,82 kg,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Palle Mallikarjun,Raider,"Jun 15, 1993",Telugu Titans,-,India,-,3.0,2.0,1.0,50.0,10.0,2.0,5.0,3.0,20.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
172,Rajnish,Raider,"Aug 25, 1998",Telugu Titans,6 ft,India,75 kg,7.0,18.0,8.0,75.55,45.0,13.0,11.0,21.0,37.77,6.0,11.0,17.0,0.0,0.0,4.0,1.0,3.0,0.14,0.0,25.0,0.0,0.0
173,Rakesh Gowda,Raider,"Nov 8, 1999",Telugu Titans,6 ft 3 in,India,73 kg,6.0,21.0,7.0,80.55,36.0,11.0,7.0,18.0,36.11,6.0,7.0,13.0,0.0,0.0,11.0,5.0,6.0,0.83,0.0,72.72,3.0,0.0
174,Siddharth Sirish,Raider,"Dec 5, 1991",Telugu Titans,6 ft 2 in,India,-,15.0,128.0,23.0,71.17,222.0,109.0,64.0,49.0,56.3,98.0,27.0,125.0,2.0,4.0,5.0,3.0,2.0,0.2,0.0,60.0,0.0,0.0
175,Suraj Desai,Raider,"Jul 19, 1989",Telugu Titans,6 ft,India,83 kg,12.0,45.0,18.0,69.9,103.0,35.0,31.0,37.0,42.71,28.0,16.0,44.0,1.0,1.0,7.0,1.0,6.0,0.08,0.0,14.28,0.0,0.0
176,Aakash Dattu,"Defender, right cover","Jan 1, 1970",Telugu Titans,-,India,-,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
177,Akash Choudhary,"Defender, right corner","Jul 1, 1998",Telugu Titans,5 ft 8 in,India,71.6 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Manish,"Defender, left cover","Apr 10, 1998",Telugu Titans,5 ft 6 in,India,73 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,C. Arun,"Defender, left corner","Mar 5, 1993",Telugu Titans,5 ft 5 in,India,68.6 kg,15.0,20.0,6.0,100.0,3.0,1.0,0.0,2.0,66.66,1.0,1.0,2.0,0.0,0.0,45.0,15.0,30.0,1.0,0.0,40.0,3.0,1.0
180,Krushna Madane,Defender,"Jan 16, 1998",Telugu Titans,5 ft 6 in,India,-,7.0,4.0,2.0,100.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,10.0,0.57,0.0,28.57,0.0,0.0
181,Vishal Bhardwaj,Defender,"Jan 1, 1997",Telugu Titans,-,India,-,15.0,54.0,8.0,100.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,45.0,40.0,3.0,0.0,63.52,9.0,5.0
182,Armaan,All Rounder,"Jul 8, 1999",Telugu Titans,6 ft 2 in,India,71 kg,6.0,9.0,4.0,59.37,32.0,6.0,13.0,13.0,28.12,8.0,1.0,9.0,1.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
183,Farhad Rahimi,All Rounder,"Nov 13, 1988",Telugu Titans,6 ft,Iran,-,15.0,43.0,5.0,83.33,66.0,17.0,11.0,38.0,30.3,17.0,3.0,20.0,0.0,0.0,53.0,23.0,30.0,1.53,0.0,43.39,0.0,0.0
184,Fazel Atrachali,"Defender, left corner","Mar 29, 1992",U Mumba,6 ft,Iran,85 kg,16.0,55.0,6.0,91.66,12.0,1.0,1.0,10.0,16.66,1.0,1.0,2.0,0.0,0.0,88.0,50.0,38.0,3.12,0.0,60.22,3.0,2.0
185,Abhishek Singh,Raider,"Apr 3, 1999",U Mumba,5 ft 11 in,India,-,14.0,88.0,13.0,81.77,192.0,74.0,35.0,83.0,45.31,78.0,9.0,87.0,2.0,4.0,12.0,1.0,11.0,0.07,0.0,8.33,0.0,0.0
186,Arjun Deshwal,Raider,"Jul 7, 1999",U Mumba,5 ft 8 in,India,-,15.0,78.0,15.0,76.02,146.0,57.0,35.0,54.0,52.05,65.0,11.0,76.0,2.0,2.0,5.0,2.0,3.0,0.13,0.0,40.0,0.0,0.0
187,Athul MS,Raider,"Jul 12, 1996",U Mumba,6 ft,India,80 kg,12.0,36.0,8.0,65.21,92.0,27.0,32.0,33.0,39.13,26.0,10.0,36.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
188,Dong Geon,Raider,"Jul 1, 1996",U Mumba,6 ft 1 in,Korea,83 kg,4.0,10.0,6.0,72.0,25.0,7.0,7.0,11.0,40.0,6.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Gaurav Kumar,Raider,"May 1, 1997",U Mumba,6 ft 1 in,India,85 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Navneet,Raider,"Jan 1, 1970",U Mumba,-,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Rohit Baliyan,Raider,"May 10, 1992",U Mumba,6 ft,India,83 kg,13.0,42.0,9.0,80.0,115.0,26.0,23.0,66.0,33.04,24.0,14.0,38.0,2.0,0.0,9.0,3.0,6.0,0.23,0.0,44.44,1.0,0.0
192,Vinoth Kumar,Raider,"Mar 23, 1994",U Mumba,5 ft 9 in,India,71.7 kg,1.0,0.0,0.0,50.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
193,Rajaguru Subramanian,"Defender, right cover","Jun 22, 1986",U Mumba,5 ft 10 in,India,83.7 kg,4.0,2.0,2.0,100.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.5,0.0,40.0,0.0,0.0
194,Harsh Vardhan,"Defender, right corner","Aug 5, 1997",U Mumba,5 ft 6 in,India,80 kg,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
195,Anil,"Defender, left cover","Feb 28, 1997",U Mumba,5 ft 9 in,India,72 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Harendra Kumar,"Defender, left cover","Dec 26, 1999",U Mumba,-,India,-,14.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,13.0,33.0,0.92,0.0,30.43,1.0,1.0
197,Young Chang,"Defender, left cover","Sep 30, 1993",U Mumba,5 ft 5 in,Korea,73 kg,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,8.0,0.44,0.0,50.0,2.0,0.0
198,Surinder Singh,Defender,"Jul 23, 1998",U Mumba,5 ft 9 in,India,78 kg,16.0,42.0,9.0,60.0,5.0,1.0,2.0,2.0,80.0,4.0,0.0,4.0,1.0,0.0,90.0,36.0,54.0,2.25,0.0,42.22,2.0,2.0
199,Ajinkya Rohidas,All Rounder,"Sep 10, 1994",U Mumba,5 ft 8 in,India,-,2.0,1.0,1.0,60.0,5.0,1.0,2.0,2.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200,Mohit Balyan,All Rounder,"Dec 17, 1999",U Mumba,5 ft 9 in,India,73 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Sandeep Narwal,All Rounder,"Apr 5, 1993",U Mumba,5 ft 11 in,India,80.2 kg,16.0,51.0,6.0,81.25,48.0,9.0,9.0,30.0,25.0,9.0,3.0,12.0,0.0,0.0,60.0,34.0,26.0,2.12,0.0,65.0,5.0,1.0
202,Nitesh Kumar,"Defender, right corner","Aug 12, 1997",U.P. Yoddha,5 ft 8 in,India,74 kg,16.0,43.0,7.0,0.0,2.0,0.0,2.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,73.0,37.0,36.0,2.31,0.0,57.53,5.0,2.0
203,Ankush,Raider,"Sep 7, 1999",U.P. Yoddha,6 ft,India,75 kg,3.0,7.0,4.0,66.66,6.0,4.0,2.0,0.0,100.0,4.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.33,0.0,100.0,0.0,0.0
204,Azad Singh,Raider,"Apr 7, 1997",U.P. Yoddha,6 ft,India,81 kg,3.0,5.0,3.0,69.56,23.0,3.0,7.0,13.0,21.73,3.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
205,Gulveer Singh,Raider,"Jul 25, 1998",U.P. Yoddha,5 ft 9 in,India,80 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Md. Masud,Raider,"Apr 5, 1988",U.P. Yoddha,5 ft 11 in,Bangladesh,79 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Monu Goyat,Raider,"Oct 16, 1992",U.P. Yoddha,5 ft 10 in,India,80 kg,9.0,46.0,10.0,73.63,110.0,38.0,29.0,43.0,39.09,30.0,13.0,43.0,0.0,1.0,10.0,2.0,8.0,0.22,0.0,30.0,1.0,0.0
208,Rishank Devadiga,Raider,"Feb 3, 1992",U.P. Yoddha,6 ft,India,83.7 kg,12.0,42.0,9.0,84.25,108.0,30.0,17.0,61.0,37.96,29.0,12.0,41.0,2.0,0.0,8.0,1.0,7.0,0.08,0.0,12.5,0.0,0.0
209,Shrikant Jadhav,Raider,"Sep 17, 1995",U.P. Yoddha,6 ft,India,79.1 kg,16.0,98.0,15.0,75.96,208.0,72.0,50.0,86.0,45.67,81.0,14.0,95.0,1.0,2.0,7.0,3.0,4.0,0.18,0.0,42.85,0.0,0.0
210,Surender Gill,Raider,"Oct 10, 1998",U.P. Yoddha,6 ft 3 in,India,80 kg,13.0,48.0,8.0,74.24,132.0,31.0,34.0,67.0,31.06,37.0,4.0,41.0,0.0,0.0,11.0,6.0,5.0,0.46,0.0,63.63,1.0,0.0
211,Surender Singh,Raider,"Sep 15, 1990",U.P. Yoddha,5 ft 11 in,India,82.4 kg,4.0,11.0,5.0,52.17,23.0,5.0,11.0,7.0,43.47,4.0,6.0,10.0,0.0,0.0,4.0,1.0,3.0,0.25,0.0,25.0,0.0,0.0
212,Ashu Singh,"Defender, right cover","Oct 7, 1998",U.P. Yoddha,-,India,-,16.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,27.0,43.0,1.68,0.0,40.0,1.0,0.0
213,Aashish Nagar,"Defender, right corner","Jan 1, 1970",U.P. Yoddha,-,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Amit,"Defender, left cover","Jul 27, 1996",U.P. Yoddha,5 ft 7 in,India,-,16.0,22.0,4.0,100.0,14.0,1.0,0.0,13.0,14.28,2.0,0.0,2.0,0.0,0.0,57.0,18.0,39.0,1.12,0.0,35.08,2.0,0.0
215,Sumit,"Defender, left corner","Mar 24, 1999",U.P. Yoddha,6 ft,India,72 kg,16.0,55.0,6.0,83.33,6.0,1.0,1.0,4.0,33.33,1.0,1.0,2.0,0.0,0.0,99.0,53.0,46.0,3.31,0.0,53.53,0.0,4.0
216,Arkam Shaikh,All Rounder,"Nov 3, 1998",U.P. Yoddha,5 ft 10 in,India,79 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Gurdeep,All Rounder,"Jul 26, 1999",U.P. Yoddha,5 ft 11 in,India,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
218,Mohsen Maghsoudloujafari,All Rounder,"Mar 17, 1995",U.P. Yoddha,5 ft 10 in,Iran,78 kg,10.0,7.0,2.0,56.52,23.0,3.0,10.0,10.0,17.39,2.0,2.0,4.0,0.0,0.0,8.0,2.0,6.0,0.2,0.0,37.5,1.0,0.0
219,Narender,All Rounder,"Sep 10, 1986",U.P. Yoddha,5 ft 8 in,India,78 kg,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
220,Sachin Kumar,All Rounder,"Aug 1, 1992",U.P. Yoddha,5 ft 7 in,India,-,12.0,4.0,2.0,92.85,14.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,8.0,0.25,0.0,36.36,1.0,0.0
